title,company_name,location,formatted_experience_level,normalized_salary,python,sql,excel,tableau,powerbi
RCM Data Analyst,Charlie Health,"Nashville, TN",Entry level,,True,True,True,True,True
Data Analyst,GLDS,"Carlsbad, CA",,,True,True,True,True,False
Data Analyst (Onsite role - only W2),SPECTRAFORCE,"Plainsboro, NJ",Associate,67600.0,False,False,True,True,False
Senior Data Analyst,TekInvaderZ,United States,,,True,True,True,False,False
Data Analyst,ZealoTech People,"Irvine, CA",Entry level,55120.0,False,False,True,False,False
Data Analyst,"Visium Resources, Inc.","Irvine, CA",Associate,56680.0,False,False,True,False,False
Financial and Data Analyst – Regulatory Compliance,Evergy,"Kansas City, MO",Mid-Senior level,62250.0,False,False,False,False,False
Lead Data Analyst,Ehub Global Inc,"Denver, CO",Mid-Senior level,,False,True,True,False,True
Data Analyst,PowerToFly,"Purchase, NY",,92525.0,False,False,False,False,False
Data Analyst,Avant-garde Health,Greater Boston,Mid-Senior level,,False,False,True,False,False
Alteryx Data Analyst ( W2 Contract,EA Team Inc,"Manhattan Beach, CA",,,False,True,True,True,False
Lead Data Analyst,RJC Group,"Fairfax County, VA",Mid-Senior level,156000.0,False,True,False,False,False
Data Analyst,"LanceSoft, Inc.","Richmond, VA",Mid-Senior level,,True,True,True,True,False
"Data Analyst, Business Intelligence","HealthCare Partners, New York","Garden City, NY",,100000.0,True,True,True,False,True
Data Analyst,Russell Tobin,"San Jose, CA",Mid-Senior level,134160.0,True,True,True,True,False
Data Analyst,Numero Data,"Herndon, VA",Mid-Senior level,72500.0,True,True,True,False,False
Marketing and Sales Data Analyst - Only W2,Patton Labs Inc,"Troy, MI",,,False,True,True,True,True
Data Analyst,Brooksource,United States,Associate,,False,True,True,False,False
Data Analyst,HRUCKUS,"Washington, DC",Mid-Senior level,103500.0,False,False,True,True,False
Data Analyst,Tata Consultancy Services,"Charlotte, NC",Entry level,,False,True,True,False,False
Intermediate Data Analyst,MITRE,"McLean, VA",Entry level,,True,False,False,False,False
Cloud Data Analyst ,Insight Global,United States,Mid-Senior level,98800.0,False,False,False,False,False
Data Analyst,IBM,"Washington, DC",,109103.5,True,True,True,True,False
Data Analyst,Ascendion,"Seattle, WA",Associate,80500.0,True,True,False,False,False
Sustainability Data Analyst,UC San Diego,United States,Associate,,False,False,True,False,False
Data Analyst II/III,University of Mississippi,"University, MS",Mid-Senior level,,False,False,True,True,False
Data Analyst,Epsilon,"Chicago, IL",Associate,,True,True,True,False,False
Data Analyst,Epsilon,"Atlanta, GA",Associate,,True,True,True,False,False
Data Analyst,Epsilon,"Irving, TX",Associate,,True,True,True,False,False
Senior Data Analyst,Cyma Systems Inc,United States,,,False,True,False,False,False
Data Analyst,Oshkosh Defense,"Spartanburg, SC",Entry level,,True,True,True,False,False
Projects & Services Business Data Analyst Intern - Summer,"Eos Energy Enterprises, Inc.","New Jersey, United States",Internship,,False,False,True,False,False
IT Product Support Analyst/Data Analyst,Hirexa Solutions,"Wichita, KS",,,True,True,False,False,False
Clinical Data Analyst,Insight Global,"Greater Orlando, FL",Mid-Senior level,95680.0,False,True,True,True,True
Data Analyst,Sun Technologies,"Orlando, FL",,89440.0,False,True,True,True,False
Data Analyst,DataAnnotation,"Plano, TX",,,True,True,True,False,False
Data Analyst,DataAnnotation,Salt Lake City Metropolitan Area,,,True,True,True,False,False
Senior Data Analyst,Rocket Mortgage,"Detroit, MI",Mid-Senior level,,True,True,False,False,False
Data Analyst,DataAnnotation,"Irving, TX",,,True,True,True,False,False
Senior Data Analyst - Cloud Solutions,MHK,"Tampa, FL",Mid-Senior level,,True,True,True,False,True
Senior Data Analyst,MSRcosmos LLC,"Alpharetta, GA",,,False,True,False,False,False
Data Analyst,SNVA Technologies,"Juno Beach, FL",,,True,True,True,False,False
Senior Data Analyst,Autodesk,"San Francisco, CA",,119050.0,True,True,True,False,False
Data Analyst,DataAnnotation,Greater Phoenix Area,,,True,True,True,False,False
Data Analyst,Apex Systems,Greater Cleveland,Mid-Senior level,,False,False,False,False,False
Data Analyst,DataAnnotation,Greater Minneapolis-St. Paul Area,,,True,True,True,False,False
Data Analyst,DataAnnotation,Dallas-Fort Worth Metroplex,,,True,True,True,False,False
Data Analyst,DataAnnotation,Atlanta Metropolitan Area,,,True,True,True,False,False
Data Analyst,DataAnnotation,Los Angeles Metropolitan Area,,,True,True,True,False,False
Data Analyst,DataAnnotation,Greater Chicago Area,,,True,True,True,False,False
Business Data Analyst,Catapult Solutions Group,"San Diego, CA",Mid-Senior level,133712.8,True,True,True,True,False
Data Analyst,DataAnnotation,Greater Boston,,,True,True,True,False,False
Data Analyst,DataAnnotation,"Brooklyn, NY",,,True,True,True,False,False
Data Analyst,DataAnnotation,"Long Beach, CA",,,True,True,True,False,False
Data Analyst,DataAnnotation,"Fairfax, VA",,,True,True,True,False,False
Data Analyst (Workday Experience) ,BravoTECH,"Richmond, VA",Associate,,False,False,False,False,False
Data Analyst,DataAnnotation,Buffalo-Niagara Falls Area,,,True,True,True,False,False
Data Analyst,DataAnnotation,Omaha Metropolitan Area,,,True,True,True,False,False
Data Analyst,DataAnnotation,"Arlington, VA",,,True,True,True,False,False
Data Analyst,DataAnnotation,Greater Sacramento,,,True,True,True,False,False
Data Analyst,DataAnnotation,"Santa Clara, CA",,,True,True,True,False,False
Marketing Data Analyst,"TSR Consulting Services, Inc.","Naples, FL",Mid-Senior level,,False,True,True,True,True
Data Scientist/Data Analyst,"Tentek, Inc.","Orlando, FL",Mid-Senior level,175760.0,False,True,True,True,True
Data Analyst,DataAnnotation,"Oakland, CA",,,True,True,True,False,False
Data Analyst,Coders Data,"Tampa, FL",Entry level,,False,True,False,False,False
Data Analyst,Coders Data,San Francisco Bay Area,Entry level,,False,True,False,False,False
Senior Data Analyst,Flexton Inc.,"Austin, Texas Metropolitan Area",Mid-Senior level,114400.0,True,True,False,False,False
Data Analyst,Carpe,"Durham, NC",,,False,True,True,False,False
Data Analyst,Brightly,"Cary, NC",Entry level,,False,False,True,False,False
Data Analyst,i2i Population Health,"Tennessee, United States",,,False,True,True,False,False
IT Financial Management System and Data Analyst,Chenega Professional Services Strategic  Business Unit,United States,Mid-Senior level,155000.0,False,True,False,True,False
Sr. Data Analyst II (BI Associate),Flexton Inc.,United States,Mid-Senior level,132256.8,True,True,False,True,False
Educational Data Analyst,100K Job Hunt,"Washington, DC",,,False,False,True,True,False
Data Analyst,Unisys,"Richmond, VA",Mid-Senior level,,True,True,False,True,False
Data Analyst,SMX,"Jacksonville, FL",Entry level,,True,True,True,True,False
Data Analyst,"Global Technical Talent, an Inc. 5000 Company","Alameda, CA",Entry level,106225.6,False,False,True,False,False
Data Analyst,"Global Technical Talent, an Inc. 5000 Company","Inver Grove Heights, MN",Entry level,,False,False,True,False,False
Senior Data Analyst,Selby Jennings,United States,Mid-Senior level,,False,True,False,False,False
Data Analyst-Tech Cons-Data and Anltcs-Data Governance and Ctrls-FSO-Manager-Multiple Postns-1499053,EY,"New York, NY",Mid-Senior level,168850.0,False,True,False,False,False
Data Analyst,DataAnnotation,"Fremont, CA",,,True,True,True,False,False
Data Analyst,HTC Global Services,"Orlando, FL",Mid-Senior level,,False,True,True,False,False
Loans Transformation Data Analyst,Cybotic System,New York City Metropolitan Area,,,False,True,True,False,False
Data Analyst,DataAnnotation,"San Jose, CA",,,True,True,True,False,False
Data Analyst,DataAnnotation,Greater Houston,,,True,True,True,False,False
Data Analyst,DataAnnotation,Raleigh-Durham-Chapel Hill Area,,,True,True,True,False,False
Data Analyst,DataAnnotation,"San Antonio, Texas Metropolitan Area",,,True,True,True,False,False
Data Analyst,DataAnnotation,Huntsville-Decatur-Albertville Area,,,True,True,True,False,False
Data Analyst Intern,Aroris,"Minneapolis, MN",,,True,True,True,True,True
"Sr Data Analyst - W2 - 12 Months - Sunnyvale, CA or New York, NY or Hoboken, NJ / 2 days/week onsite",Advent Global Solutions,New York City Metropolitan Area,,,True,True,False,True,False
Data Analyst,DataAnnotation,"Richmond, VA",,,True,True,True,False,False
Data Analyst,DataAnnotation,San Diego Metropolitan Area,,,True,True,True,False,False
Product Data Analyst,The Gunter Group,"Portland, Oregon Metropolitan Area",Mid-Senior level,110000.0,True,True,True,True,True
Data Analyst,DataAnnotation,"Arlington, TX",,,True,True,True,False,False
Data Analyst (Visual Basic Application) ,Gainwell Technologies,"Hamilton, NJ",,84300.0,False,True,True,False,False
Data Analyst,DataAnnotation,"Sunnyvale, CA",,,True,True,True,False,False
Business Data Analyst,Allied Universal,"Nashville, TN",Mid-Senior level,,False,True,True,False,True
Data Analyst,DataAnnotation,"Austin, Texas Metropolitan Area",,,True,True,True,False,False
Data Analyst,DataAnnotation,Greensboro--Winston-Salem--High Point Area,,,True,True,True,False,False
Data Analyst,DataAnnotation,Greater Tampa Bay Area,,,True,True,True,False,False
Data Analyst,DataAnnotation,Washington DC-Baltimore Area,,,True,True,True,False,False
Senior Data Analyst,Bernhard,"Metairie, LA",Mid-Senior level,,False,False,True,False,True
Data Analyst,DataAnnotation,Greater Pittsburgh Region,,,True,True,True,False,False
Junior Business Data Analyst,DHL Supply Chain,"Mechanicsburg, PA",Entry level,,False,False,True,False,False
Data Analyst,Emeritus,United States,Associate,90000.0,False,True,True,True,True
Product Data Analyst,CARFAX,"Centreville, VA",Entry level,,False,False,True,False,False
Data Analyst (Entry Level),Select Source International,"Trenton, NJ",,,False,False,False,False,False
Contract Business Systems Data Analyst (Treasury focus),Vaco,"Raleigh, NC",Mid-Senior level,150800.0,False,True,True,False,False
Data Analyst,CARFAX,"Centreville, VA",Entry level,,False,False,True,False,False
Data Analyst,TekJobs,United States,,,False,False,True,False,False
Data Analyst,"Paramount Software Solutions, Inc","Seattle, WA",,,False,True,False,False,False
Data Analyst-NY,ATC,"New York, United States",Entry level,,False,False,False,False,False
Data Analyst,Randstad Digital,"Atlanta, GA",Associate,47840.0,False,False,True,False,False
Data Analyst-WA,ATC,"Washington, United States",Entry level,,False,False,False,False,False
Data Analyst-CA,ATC,"California, United States",Entry level,,False,False,False,False,False
Data Analyst-IL,ATC,"Illinois, United States",Entry level,,False,False,False,False,False
Digital Media Data Analyst,Gupta Media,Greater Boston,Entry level,,True,True,True,False,False
Data Analyst-VA,ATC,"Virginia, United States",Entry level,,False,False,False,False,False
Data Analyst-Tx,ATC,"Texas, United States",Entry level,,False,False,False,False,False
Data Analyst III (Onsite - Only W2/No C2C),Select Source International,"Phoenix, AZ",,,False,True,True,False,False
Sr. Operations Data Analyst - Provider - (SAS Required) - Remote,EmblemHealth,"New York, NY",Mid-Senior level,86500.0,False,False,True,True,False
IT Team Lead / Sr. Servicing Product Owner / Sr. SQL Data Analyst  (Onsite Required) ,CGS Business Solutions | INC 5000 Company,"Anaheim, CA",Mid-Senior level,122500.0,False,True,False,False,False
Data Analyst,Kelly,"Columbia, SC",Associate,61880.0,False,False,True,False,False
Tibco Spotfire Data Analyst,CodeForce 360,"Cincinnati, OH",,,True,True,False,False,False
NMC_000221 - Data Analyst (W2),New Millenium Consulting,"Plano, TX",Mid-Senior level,67600.0,False,True,True,False,False
Senior Data Analyst- Scientist,Insight Global,United States,Mid-Senior level,104000.0,True,True,True,True,True
Program Data Analyst,Pattern Data,United States,Entry level,,True,True,True,False,False
Sr. Healthcare Data Analyst,Vail Health,United States,,109465.93,False,True,False,False,False
Senior Data Analyst,Navan,"Palo Alto, CA",Mid-Senior level,164500.0,False,True,True,False,False
Marketing Data Analyst,SAP,"Plano, TX",,222650.0,False,True,True,False,False
Senior Data Analyst,In Technology Group Inc (US),United States,Mid-Senior level,,False,True,False,True,True
Technical Data Analyst,Talent Groups,"Milford, MA",Entry level,,True,True,True,True,False
Data Analyst,Carallel,United States,,87500.0,False,False,True,True,True
Associate Data Analyst,Zest AI,United States,Entry level,75000.0,True,True,True,False,False
Master Data Analyst,Korn Ferry,"Houston, TX",Mid-Senior level,88400.0,False,False,False,False,False
Master Data Analyst,BCforward,United States,,,False,False,True,False,False
Reporting and Data Analyst,Ventegra,United States,,72800.0,True,True,True,True,False
Business Data Analyst- (Full Time/10+year exp*),"Q1 Technologies, Inc.","Sunnyvale, CA",,,False,True,False,True,False
Financial Data Analyst,RSM US LLP,"Minneapolis, MN",,85550.0,False,True,True,False,True
Business Data Analyst,Piper Companies,"McLean, VA",Mid-Senior level,93600.0,True,True,True,True,False
Business Data Analyst II,DHL Supply Chain,"Bordentown, NJ",Associate,,False,False,True,False,False
Data Analyst,E-IT,"Charlotte, NC",,,False,True,True,False,False
Data Analyst - Marketing Development,WTW,"Salt Lake City, UT",Entry level,,True,True,False,False,False
Data Analyst (BANKING DOMAIN ONLY),Fixity Technologies,"Jersey City, NJ",,109200.0,False,True,True,False,False
Data Analyst,Dexian,"Getzville, NY",,81120.0,False,False,True,False,False
Data Analyst - Remote,ICF,"Reston, VA",Entry level,,False,True,True,False,False
Senior Data Analyst (Only Locals to California will be considered),Alpha Net,"Fremont, CA",,,False,True,False,True,False
Data Analyst,USCTEK - Recruiting & Staffing,United States,,,False,False,True,False,False
Data Analyst,,"Arlington, VA",,,False,True,True,False,False
Research Data Analyst,The Johns Hopkins University,"Baltimore, MD",Mid-Senior level,61150.0,False,False,True,False,False
Research Data Analyst,The Johns Hopkins University,"Baltimore, MD",Mid-Senior level,,False,False,False,False,False
Senior Data Analyst,Adaptavist,United States,Mid-Senior level,,True,False,True,False,False
Business Data Analyst,Collabera,"Richmond, VA",Mid-Senior level,,False,True,False,False,False
Data Analyst I (Onsite),DP Professionals (DPP),"Columbia, SC",Mid-Senior level,,False,False,True,False,False
Data Analyst (W2 Only),"Triunity Software, Inc. ",United States,Mid-Senior level,,True,False,True,False,False
Data Analyst,Akkodis,"Akron, OH",Mid-Senior level,135200.0,False,True,False,True,False
Data Analyst,ClarisHealth,United States,Mid-Senior level,,False,True,True,False,False
Junior Data Analyst,Gypsum Management and Supply,"Tucker, GA",Entry level,,False,False,True,False,True
Transformation Data Analyst - Financial Services,"TSR Consulting Services, Inc.","New York, NY",Mid-Senior level,175760.0,False,True,True,False,False
Data Analyst,Straight Arrow News,United States,Associate,115000.0,True,True,True,False,False
Senior Data Analyst,"Groundswell, Inc.",Washington DC-Baltimore Area,Mid-Senior level,85000.0,True,True,True,True,True
Data Analyst,EPITEC,"Chicago, IL",Mid-Senior level,146640.0,True,True,True,True,True
